date,chart_date,rank,rank_variation,is_new,track_name,artist_name_local,line_artist_id,line_track_id,score,listened_count,like_count,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-07-27,2026-07-26,11,3,0,Time's Tickin',U-KNOW,mi0000000010de3a50,mt0000000026947994,381541.51651,165854,315,,,,,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,12,-1,0,춤 (CHOOM),BABYMONSTER,mi00000000230ddd62,mt0000000025943022,1069531.0,1655561,11334,YG,YG Entertainment,BABYMONSTER,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,13,0,0,Whiplash,aespa,mi000000001d2ef052,mt00000000205fc729,917646.0,19914324,91080,SM,SM Entertainment,aespa,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,14,-2,0,Dynamite,BTS,mi000000000dcc9b82,mt0000000011b5bfa8,899633.0,82582385,480550,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,15,0,0,DRIP,BABYMONSTER,mi00000000230ddd62,mt000000002074b8de,843695.0,11511679,57343,YG,YG Entertainment,BABYMONSTER,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,16,0,0,Butter,BTS,mi000000000dcc9b82,mt0000000013eda145,772919.0,56670407,307818,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,17,0,0,SUGAR HONEY ICE TEA,BABYMONSTER,mi00000000230ddd62,mt0000000025e6b42e,877147.0,780542,7202,YG,YG Entertainment,BABYMONSTER,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,18,0,0,BOY MEETS GIRL,NCT WISH,mi000000001f923535,mt00000000260d43aa,909835.0,1514142,6211,SM,SM Entertainment,NCT WISH,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,19,0,0,JUMP,BLACKPINK,mi000000000f1d2791,mt000000002301529b,721966.0,7137156,40081,YG,YG Entertainment,BLACKPINK,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,20,0,0,Boy With Luv (feat. Halsey),BTS,mi000000000dcc9b82,mt000000000efca410,634438.0,32393027,180997,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,21,3,0,Perfect Night,LE SSERAFIM,mi0000000019287cae,mt000000001c8d2174,616672.0,25744834,123175,HYBE,SOURCE MUSIC,LE SSERAFIM,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,22,0,0,Permission to Dance,BTS,mi000000000dcc9b82,mt000000001444c205,631399.0,40140911,224461,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,23,0,0,THIS IS FOR,TWICE,mi00000000100b2799,mt0000000023037f5a,679446.0,5653836,28623,JYP,JYP Entertainment,TWICE,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,24,-3,0,WE GO UP,BABYMONSTER,mi00000000230ddd62,mt0000000023b62003,674456.0,3526280,20595,YG,YG Entertainment,BABYMONSTER,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,25,0,0,I LIKE IT,BABYMONSTER,mi00000000230ddd62,mt0000000025943023,566543.0,398262,3775,YG,YG Entertainment,BABYMONSTER,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,26,0,0,BANG BANG,IVE,mi000000001ab0536c,mt0000000024b6122d,634867.0,3287506,18044,OTHER,Starship Entertainment,IVE,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,27,6,0,FANTASTIC BABY,BIGBANG,mi00000000006df3a8,mt0000000000b10ba6,547166.0,22082666,149128,YG,YG Entertainment,BIGBANG,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,28,-1,0,Come Over,BTS,mi000000000dcc9b82,mt0000000025ff42d0,664848.0,720687,9083,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,29,0,0,Ice Cream,YEONJUN,mi0000000023ecb3e7,mt000000002646a7b8,3154977.0807200004,1816362,2304,,,,,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,30,4,0,Seven (Clean Ver.),"Jung Kook, Latto",mi000000001fd81217,mt000000001b45753e,530416.0,24624384,139894,,,,,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,31,-1,0,Body to Body,BTS,mi000000000dcc9b82,mt00000000251e014f,610715.0,1467432,6217,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,32,5,0,BANG BANG BANG,BIGBANG,mi00000000006df3a8,mt000000000325ce2d,519978.0,58709857,266800,YG,YG Entertainment,BIGBANG,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,33,-1,0,AS IF IT'S YOUR LAST,BLACKPINK,mi000000000d88926b,mt000000000c4b6892,552847.0,22868422,144619,YG,YG Entertainment,BLACKPINK,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,34,5,0,Ditto,NewJeans,mi000000001a221995,mt0000000018d0aa99,490045.0,27007665,138434,HYBE,ADOR,NewJeans,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,35,-7,0,Orbit Pop,aespa,mi000000001f9c7e6b,mt0000000026a31b69,128735.95999999999,38760,534,SM,SM Entertainment,aespa,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,36,2,0,Lemon Tang,Hearts2Hearts,mi000000002839051d,mt00000000260a43a7,575929.0,604511,3689,SM,SM Entertainment,Hearts2Hearts,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,37,-2,0,NORMAL,BTS,mi000000000dcc9b82,mt00000000251e0157,555450.0,1247006,6145,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,38,2,0,RUN IT,Stray Kids,mi000000001171d196,mt000000002607fb18,575612.0,1197925,5409,JYP,JYP Entertainment,Stray Kids,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,39,3,0,Feel Special,TWICE,mi000000000ba3ad96,mt000000000fd1f738,515777.0,37501407,206184,JYP,JYP Entertainment,TWICE,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,40,-9,0,In Halo,aespa,mi000000001f9c7e6b,mt0000000026a31b6d,122090.34000000001,32562,766,SM,SM Entertainment,aespa,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,41,3,0,STYLE,Hearts2Hearts,mi00000000258f25d2,mt0000000022c60f60,514385.0,3851040,24480,SM,SM Entertainment,Hearts2Hearts,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,42,1,0,Supernova,aespa,mi000000001d2ef052,mt000000001ef56c73,491890.0,13862778,62702,SM,SM Entertainment,aespa,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,43,-7,0,Hooligan,BTS,mi000000000dcc9b82,mt00000000251e0150,552417.0,1225061,6011,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,44,1,0,jellyous,ILLIT,mi00000000220540fc,mt0000000022bce001,456246.0,3250457,22966,HYBE,BELIFT LAB,ILLIT,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,45,1,0,OMG,NewJeans,mi000000001a221995,mt0000000018ee521e,448311.0,30180072,149668,HYBE,ADOR,NewJeans,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,46,6,0,CRAZY,LE SSERAFIM,mi0000000019287cae,mt000000001fd20a7f,453310.0,10548492,55953,HYBE,SOURCE MUSIC,LE SSERAFIM,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,47,0,0,Catch Catch,YENA,mi000000002122399d,mt00000000251173d2,491080.0,1178327,15221,OTHER,Yuehua Entertainment,YENA,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,48,3,0,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM,mi0000000019287cae,mt0000000023da7c09,451689.0,3293806,23835,HYBE,SOURCE MUSIC,LE SSERAFIM,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,49,0,0,What is Love?,TWICE,mi00000000100b2799,mt000000000d69ec17,476344.0,28820442,161429,JYP,JYP Entertainment,TWICE,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,50,-2,0,PSYCHO,BABYMONSTER,mi00000000230ddd62,mt0000000023b62004,490681.0,2099834,13137,YG,YG Entertainment,BABYMONSTER,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
